Number of books: 212
Average book length: 170019.34 words
Total length: 36044100 words
Unique words: 405545

~~~~
The 1000 most frequent words:
~~~~

Rank		Word			Number of occurences

618.			pretty			5404
619.			straight			5395
620.			horse			5394
621.			mrs			5382
622.			holding			5375
623.			smiled			5373
624.			although			5370
625.			breath			5369
626.			river			5351
627.			prince			5323
628.			met			5307
629.			family			5305
630.			onto			5276
631.			moving			5269
632.			system			5259
633.			play			5254
634.			de			5248
635.			early			5247
636.			present			5246
637.			pass			5240
638.			looks			5221
639.			realized			5211
640.			louis			5201
641.			legs			5172
642.			fight			5161
643.			broken			5160
644.			we’re			5152
645.			they’re			5149
646.			government			5145
647.			wouldn’t			5137
648.			ahead			5121
649.			shoulder			5114
650.			chair			5110
651.			trouble			5107
652.			empty			5106
653.			suppose			5105
654.			lips			5105
655.			till			5101
656.			foot			5089
657.			led			5082
658.			hall			5071
659.			glass			5070
660.			form			5056
661.			anyway			5041
662.			battle			5037
663.			sit			5036
664.			what’s			5027
665.			ser			5022
666.			dear			5021
667.			field			4992
668.			wide			4966
669.			doesn’t			4966
670.			third			4960
671.			returned			4955
672.			edge			4953
673.			decided			4952
674.			hermione			4947
675.			continued			4933
676.			middle			4927
677.			answered			4906
678.			view			4904
679.			silver			4900
680.			exactly			4898
681.			captain			4895
682.			heavy			4888
683.			evening			4881
684.			car			4880
685.			laughed			4875
686.			force			4870
687.			send			4869
688.			american			4860
689.			hot			4853
690.			pain			4848
691.			letter			4843
692.			books			4841
693.			art			4838
694.			listen			4834
695.			corner			4804
696.			meet			4802
697.			neck			4790
698.			darkness			4788
699.			enter			4779
700.			school			4776
701.			twenty			4769
702.			learned			4765
703.			tall			4758
704.			you’ll			4754
705.			common			4730
706.			stared			4726
707.			we’ll			4709
708.			horses			4670
709.			tom			4669
710.			daughter			4667
711.			working			4666
712.			group			4666
713.			queen			4660
714.			seeing			4647
715.			filled			4646
716.			carried			4643
717.			isn’t			4635
718.			paper			4627
719.			building			4621
720.			york			4616
721.			law			4613
722.			soul			4610
723.			natural			4608
724.			follow			4604
725.			somewhere			4602
726.			office			4587
727.			silent			4570
728.			count			4556
729.			leaving			4551
730.			rock			4534
731.			easy			4525
732.			you’ve			4507
733.			further			4504
734.			added			4502
735.			worked			4500
736.			dream			4493
737.			learn			4482
738.			replied			4474
739.			teeth			4470
740.			attention			4463
741.			miss			4460
742.			happy			4457
743.			control			4446
744.			worse			4445
745.			job			4437
746.			lived			4419
747.			states			4412
748.			alive			4407
749.			sign			4403
750.			goes			4402
751.			beginning			4399
752.			seven			4398
753.			fast			4398
754.			news			4397
755.			daniel			4388
756.			forth			4387
757.			army			4384
758.			happen			4372
759.			touch			4360
760.			supposed			4357
761.			species			4344
762.			drink			4344
763.			skin			4338
764.			fool			4337
765.			faces			4333
766.			turning			4332
767.			hardly			4322
768.			miles			4318
769.			you're			4306
770.			don			4304
771.			gray			4302
772.			remained			4301
773.			questions			4291
774.			can't			4286
775.			reach			4264
776.			brown			4258
777.			sister			4255
778.			bear			4245
779.			somehow			4241
780.			especially			4221
781.			simple			4209
782.			nose			4206
783.			deal			4202
784.			wonder			4196
785.			wise			4196
786.			save			4192
787.			break			4182
788.			shut			4169
789.			secret			4162
790.			remembered			4161
791.			fat			4161
792.			showed			4160
793.			step			4156
794.			changed			4150
795.			knowledge			4149
796.			dropped			4147
797.			beautiful			4147
798.			pay			4143
799.			problem			4142
800.			hell			4132
801.			aside			4127
802.			gods			4122
803.			distance			4121
804.			noticed			4118
805.			thick			4117
806.			thin			4108
807.			following			4104
808.			cause			4100
809.			ways			4095
810.			bright			4092
811.			dr			4090
812.			west			4082
813.			months			4080
814.			act			4077
815.			steps			4072
816.			lie			4065
817.			pale			4064
818.			hurt			4064
819.			tree			4045
820.			tears			4034
821.			company			4030
822.			quiet			4013
823.			heads			4011
824.			he's			4005
825.			smell			4003
826.			drew			3995
827.			ears			3994
828.			telling			3990
829.			spent			3984
830.			according			3984
831.			huge			3979
832.			sorry			3975
833.			written			3971
834.			fellow			3967
835.			thank			3965
836.			places			3964
837.			wine			3959
838.			grew			3954
839.			boys			3943
840.			ancient			3934
841.			expected			3929
842.			surely			3927
843.			likely			3926
844.			walking			3923
845.			giving			3923
846.			shoulders			3922
847.			speaking			3921
848.			ah			3913
849.			peace			3909
850.			jake			3908
851.			figure			3905
852.			clothes			3898
853.			completely			3893
854.			man’s			3860
855.			staring			3857
856.			wore			3856
857.			she’s			3856
858.			spread			3851
859.			party			3846
860.			safe			3844
861.			week			3840
862.			shouted			3828
863.			lying			3826
864.			pointed			3825
865.			stepped			3822
866.			covered			3820
867.			evil			3816
868.			ought			3799
869.			tongue			3797
870.			struck			3797
871.			strength			3797
872.			wearing			3783
873.			broke			3781
874.			east			3780
875.			plan			3775
876.			picked			3774
877.			nobody			3772
878.			fair			3771
879.			public			3769
880.			unless			3768
881.			girls			3766
882.			crowd			3754
883.			immediately			3749
884.			impossible			3735
885.			wondered			3733
886.			seat			3716
887.			hit			3715
888.			society			3701
889.			shot			3686
890.			spirit			3683
891.			whispered			3682
892.			chest			3678
893.			example			3677
894.			understood			3666
895.			merely			3665
896.			court			3665
897.			clearly			3661
898.			soldiers			3650
899.			necessary			3650
900.			glanced			3644
901.			direction			3643
902.			dangerous			3641
903.			future			3639
904.			carefully			3639
905.			nice			3637
906.			thoughts			3635
907.			sweet			3634
908.			wild			3631
909.			snow			3631
910.			windows			3629
911.			piece			3618
912.			lives			3597
913.			born			3596
914.			steel			3595
915.			position			3590
916.			slightly			3588
917.			french			3584
918.			animals			3580
919.			couple			3575
920.			terrible			3574
921.			dog			3572
922.			sudden			3570
923.			memory			3569
924.			stuff			3568
925.			entered			3561
926.			throat			3553
927.			wants			3552
928.			finished			3550
929.			yellow			3545
930.			dust			3542
931.			expression			3537
932.			knees			3536
933.			bloody			3535
934.			begin			3534
935.			ring			3533
936.			wood			3523
937.			tiny			3522
938.			information			3517
939.			warm			3516
940.			subject			3515
941.			stars			3510
942.			grace			3510
943.			cry			3508
944.			guess			3502
945.			lines			3500
946.			meeting			3497
947.			soft			3491
948.			interest			3490
949.			laid			3489
950.			waited			3481
951.			rain			3480
952.			surface			3475
953.			church			3471
954.			golden			3466
955.			dragon			3462
956.			wrote			3457
957.			towards			3456
958.			purpose			3450
959.			mad			3450
960.			pushed			3435
961.			english			3421
962.			expect			3420
963.			cloak			3418
964.			smoke			3416
965.			science			3416
966.			professor			3412
967.			difficult			3412
968.			knife			3401
969.			particular			3400
970.			imagine			3394
971.			aiel			3391
972.			believed			3385
973.			duke			3381
974.			forget			3367
975.			write			3366
976.			built			3365
977.			hung			3359
978.			doctor			3359
979.			holy			3354
980.			dry			3350
981.			minute			3347
982.			path			3342
983.			isaac			3330
984.			names			3326
985.			iron			3325
986.			game			3321
987.			coat			3320
988.			carry			3315
989.			slow			3313
990.			moon			3299
991.			moiraine			3294
992.			touched			3291
993.			yeah			3290
994.			manner			3288
995.			quietly			3285
996.			seldon			3280
997.			knowing			3280
998.			laugh			3276
999.			grass			3271
1000.			village			3270
